ticker,cik,entity_name,revenue_value,revenue_tag,revenue_filed,revenue_period_end,revenue_form,net_income_value,net_income_tag,net_income_filed,net_income_period_end,net_income_form,operating_income_value,operating_income_tag,operating_income_filed,operating_income_period_end,operating_income_form,assets_value,assets_tag,assets_filed,assets_period_end,assets_form,liabilities_value,liabilities_tag,liabilities_filed,liabilities_period_end,liabilities_form,equity_value,equity_tag,equity_filed,equity_period_end,equity_form,cash_value,cash_tag,cash_filed,cash_period_end,cash_form,operating_cash_flow_value,operating_cash_flow_tag,operating_cash_flow_filed,operating_cash_flow_period_end,operating_cash_flow_form,eps_diluted_value,eps_diluted_tag,eps_diluted_filed,eps_diluted_period_end,eps_diluted_form
AMD,0000002488,ADVANCED MICRO DEVICES INC,1584000000.0,Revenues,2018-10-31,2017-09-30,10-Q,1383000000.0,NetIncomeLoss,2026-05-06,2026-03-28,10-Q,1476000000.0,OperatingIncomeLoss,2026-05-06,2026-03-28,10-Q,79642000000.0,Assets,2026-05-06,2026-03-28,10-Q,,,,,,64462000000.0,StockholdersEquity,2026-05-06,2026-03-28,10-Q,5585000000.0,CashAndCashEquivalentsAtCarryingValue,2026-05-06,2026-03-28,10-Q,2955000000.0,NetCashProvidedByUsedInOperatingActivities,2026-05-06,2026-03-28,10-Q,0.84,EarningsPerShareDiluted,2026-05-06,2026-03-28,10-Q
COP,0001163165,ConocoPhillips,15761000000.0,Revenues,2026-04-30,2026-03-31,10-Q,2183000000.0,NetIncomeLoss,2026-04-30,2026-03-31,10-Q,,,,,,122725000000.0,Assets,2026-04-30,2026-03-31,10-Q,58184000000.0,Liabilities,2026-04-30,2026-03-31,10-Q,64541000000.0,StockholdersEquity,2026-04-30,2026-03-31,10-Q,5877000000.0,CashAndCashEquivalentsAtCarryingValue,2026-04-30,2026-03-31,10-Q,4295000000.0,NetCashProvidedByUsedInOperatingActivities,2026-04-30,2026-03-31,10-Q,1.78,EarningsPerShareDiluted,2026-04-30,2026-03-31,10-Q
DVN,0001090012,DEVON ENERGY CORP/DE,3807000000.0,Revenues,2026-05-06,2026-03-31,10-Q,120000000.0,NetIncomeLoss,2026-05-06,2026-03-31,10-Q,326000000.0,OperatingIncomeLoss,2017-11-01,2017-09-30,10-Q,32543000000.0,Assets,2026-05-06,2026-03-31,10-Q,,,,,,15428000000.0,StockholdersEquity,2026-05-06,2026-03-31,10-Q,1763000000.0,CashAndCashEquivalentsAtCarryingValue,2026-05-06,2026-03-31,10-Q,1655000000.0,NetCashProvidedByUsedInOperatingActivities,2026-05-06,2026-03-31,10-Q,0.19,EarningsPerShareDiluted,2026-05-06,2026-03-31,10-Q
GLD,0001222333,SPDR® GOLD TRUST,,,,,,16830571000.0,NetIncomeLoss,2025-11-25,2025-09-30,10-K,-136084000.0,OperatingIncomeLoss,2017-11-28,2017-09-30,10-K,155167600000.0,Assets,2026-05-05,2026-03-31,10-Q,56775000.0,Liabilities,2026-05-05,2026-03-31,10-Q,0.0,StockholdersEquity,2015-02-06,2014-09-30,10-Q,0.0,CashAndCashEquivalentsAtCarryingValue,2018-05-02,2018-03-31,10-Q,0.0,NetCashProvidedByUsedInOperatingActivities,2026-05-05,2026-03-31,10-Q,,,,,
IONQ,0001824920,"IONQ, INC.",1235000000.0,Revenues,2023-03-30,2022-12-31,10-K,805360000.0,NetIncomeLoss,2026-05-07,2026-03-31,10-Q,-271507000.0,OperatingIncomeLoss,2026-05-07,2026-03-31,10-Q,6693713000.0,Assets,2026-05-07,2026-03-31,10-Q,1704011000.0,Liabilities,2026-05-07,2026-03-31,10-Q,4975969000.0,StockholdersEquity,2026-05-07,2026-03-31,10-Q,493538000.0,CashAndCashEquivalentsAtCarryingValue,2026-05-07,2026-03-31,10-Q,-151024000.0,NetCashProvidedByUsedInOperatingActivities,2026-05-07,2026-03-31,10-Q,2.07,EarningsPerShareDiluted,2026-05-07,2026-03-31,10-Q
NVDA,0001045810,NVIDIA CORPORATION,215938000000.0,Revenues,2026-02-25,2026-01-25,10-K,120067000000.0,NetIncomeLoss,2026-05-12,2026-01-25,DEF 14A,130387000000.0,OperatingIncomeLoss,2026-02-25,2026-01-25,10-K,206803000000.0,Assets,2026-02-25,2026-01-25,10-K,49510000000.0,Liabilities,2026-02-25,2026-01-25,10-K,157293000000.0,StockholdersEquity,2026-02-25,2026-01-25,10-K,10605000000.0,CashAndCashEquivalentsAtCarryingValue,2026-02-25,2026-01-25,10-K,102718000000.0,NetCashProvidedByUsedInOperatingActivities,2026-02-25,2026-01-25,10-K,4.9,EarningsPerShareDiluted,2026-02-25,2026-01-25,10-K
PG,0000080424,PROCTER & GAMBLE CO,21235000000.0,Revenues,2026-04-24,2026-03-31,10-Q,3932000000.0,NetIncomeLoss,2026-04-24,2026-03-31,10-Q,4576000000.0,OperatingIncomeLoss,2026-04-24,2026-03-31,10-Q,128378000000.0,Assets,2026-04-24,2026-03-31,10-Q,73647000000.0,Liabilities,2026-04-24,2026-03-31,10-Q,54731000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2026-04-24,2026-03-31,10-Q,9304000000.0,CashAndCashEquivalentsAtCarryingValue,2019-10-22,2019-09-30,10-Q,14425000000.0,NetCashProvidedByUsedInOperatingActivities,2026-04-24,2026-03-31,10-Q,1.63,EarningsPerShareDiluted,2026-04-24,2026-03-31,10-Q
QUBT,0001758009,QUANTUM COMPUTING INC.,3691000.0,Revenues,2026-05-11,2026-03-31,10-Q,-4050000.0,NetIncomeLoss,2026-05-11,2026-03-31,10-Q,-20550000.0,OperatingIncomeLoss,2026-05-11,2026-03-31,10-Q,1620534000.0,Assets,2026-05-11,2026-03-31,10-Q,23350000.0,Liabilities,2026-05-11,2026-03-31,10-Q,1597184000.0,StockholdersEquity,2026-05-11,2026-03-31,10-Q,257711000.0,CashAndCashEquivalentsAtCarryingValue,2026-05-11,2026-03-31,10-Q,-9423000.0,NetCashProvidedByUsedInOperatingActivities,2026-05-11,2026-03-31,10-Q,-0.02,EarningsPerShareDiluted,2026-05-11,2026-03-31,10-Q
